city,cloudiness,country,date,humidity,lat,lon,temp_k,wind_speed
Ushtobe,0,KZ,1584998952,71,45.25,77.98,272.92,4.13
Carnarvon,0,AU,1584998953,69,-24.87,113.63,297.15,3.1
Bathsheba,75,BB,1584998954,69,13.22,-59.52,300.15,7.2
Kulhudhuffushi,0,MV,1584998955,68,6.62,73.07,301.62,2.28
Tevaitoa,66,PF,1584998957,64,-16.78,-151.5,301.72,0.58
Antofagasta,66,CL,1584998813,72,-23.65,-70.4,292.15,6.7
Meleuz,100,RU,1584998959,88,52.97,55.92,273.72,7.32
Forsytheganj,0,BY,1584998960,60,52.63,29.73,270.02,2.64
Kavieng,100,PG,1584998961,71,-2.57,150.8,301.52,1.4
Sabang,1,ID,1584998963,66,5.89,95.32,301.92,4.25
Port Alfred,97,ZA,1584998964,96,-33.59,26.89,292.04,1.34
Maslovare,90,BA,1584998965,92,44.57,17.53,272.15,1.0
Yellowknife,5,CA,1584998700,49,62.46,-114.35,257.07,9.3
Chui,41,UY,1584998968,65,-33.7,-53.46,296.92,6.19
Necochea,95,AR,1584998913,32,-38.55,-58.74,302.59,8.05
Guarapuava,0,BR,1584998971,53,-25.4,-51.46,293.32,1.72
Mūl,0,IN,1584998972,30,20.07,79.67,299.32,0.91
San Cristobal,40,VE,1584998747,52,7.77,-72.22,304.15,5.7
New Norfolk,20,AU,1584998974,81,-42.78,147.06,280.74,4.1
Barrow,90,US,1584998975,77,71.29,-156.79,259.15,2.1
Hay River,75,CA,1584998976,65,60.82,-115.8,259.15,8.2
Vredendal,100,ZA,1584998977,80,-31.67,18.5,289.12,3.68
Pevek,100,RU,1584998978,86,69.7,170.31,265.72,6.64
Kahului,40,US,1584998979,54,20.89,-156.47,296.05,8.7
Saldanha,99,ZA,1584998981,77,-33.01,17.94,290.15,2.6
East London,34,ZA,1584998982,83,-33.02,27.91,296.92,2.94
Bandarbeyla,100,SO,1584998983,76,9.49,50.81,301.42,3.7
Chumikan,0,RU,1584998984,76,54.72,135.31,262.72,1.33
Troitsko-Pechorsk,15,RU,1584998985,93,62.71,56.2,266.92,3.18
Avarua,100,CK,1584998986,88,-21.21,-159.78,301.15,3.6
Mehrān,0,IR,1584998987,86,33.12,46.16,278.15,1.0
Butaritari,38,KI,1584998988,77,3.07,172.79,302.22,8.4
Verkhnevilyuysk,100,RU,1584998989,94,63.45,120.32,267.22,4.24
Guasdualito,75,VE,1584998990,29,7.24,-70.73,310.15,1.5
Castro,35,BR,1584998991,65,-24.79,-50.01,292.92,2.64
Okhotsk,59,RU,1584998992,80,59.38,143.3,258.92,3.74
Monrovia,20,LR,1584998993,94,6.3,-10.8,299.15,0.19
Dārāb,0,IR,1584998994,66,28.75,54.54,282.92,0.08
Lompoc,90,US,1584998985,72,34.64,-120.46,288.98,3.6
Honningsvåg,75,NO,1584998996,64,70.98,25.97,276.73,11.3
Saskylakh,6,RU,1584998997,95,71.92,114.08,239.62,4.07
Barsovo,0,RU,1584998998,66,61.17,73.17,264.15,4.0
Mabaruma,35,GY,1584999000,62,8.2,-59.78,301.92,3.33
Ancud,90,CL,1584999001,100,-41.87,-73.82,288.15,4.6
Mayo,90,US,1584998758,95,38.89,-76.51,280.35,5.1
Port Lincoln,82,AU,1584999003,80,-34.73,135.87,289.12,4.26
Dingle,11,PH,1584999004,88,11.0,122.67,296.12,3.77
Calama,0,CL,1584999006,25,-22.47,-68.93,296.15,10.8
Bilibino,100,RU,1584999007,94,68.05,166.44,263.92,1.57
Palmer,90,US,1584999008,97,42.16,-72.33,273.17,3.6
Arraial do Cabo,40,BR,1584999009,69,-22.97,-42.03,298.15,2.6
Aswān,41,EG,1584999011,19,24.09,32.91,298.15,1.5
Osmeña,100,PH,1584999012,79,10.52,119.93,300.62,7.08
Ixtapa,5,MX,1584999013,57,20.7,-105.2,299.99,5.1
Paamiut,7,GL,1584999014,70,61.99,-49.67,261.82,4.82
Erenhot,98,CN,1584999015,35,43.65,111.98,280.42,3.35
Leningradskiy,100,RU,1584999016,75,69.38,178.42,266.52,2.32
Kudahuvadhoo,0,MV,1584999017,68,2.67,72.89,301.42,3.65
Niquero,0,CU,1584999019,48,20.04,-77.58,301.82,2.85
Iqaluit,75,CA,1584999020,78,63.75,-68.51,263.95,2.6
Severo-Kuril'sk,89,RU,1584999021,90,50.68,156.12,270.72,4.56
Laurel,90,US,1584999003,93,39.1,-76.85,280.03,2.6
La Plata,0,AR,1584999002,35,-34.92,-57.95,301.79,4.1
St. George's,20,GD,1584999024,66,12.06,-61.75,302.15,7.7
Kumul,0,CN,1584999025,37,42.8,93.45,282.92,9.39
Upernavik,100,GL,1584999026,80,72.79,-56.15,253.92,5.29
Saint-Augustin,33,CA,1584999027,75,51.23,-58.65,269.02,10.15
Zeya,43,RU,1584999028,90,53.75,127.27,262.32,3.28
Qui Nhon,96,VN,1584999029,82,13.77,109.23,296.22,1.12
Kitob,100,UZ,1584999032,66,39.08,66.83,286.42,1.46
Tazovsky,100,RU,1584999033,94,67.47,78.7,268.62,8.38
Tiksi,100,RU,1584999034,99,71.69,128.87,251.72,4.38
Vila Velha,40,BR,1584998887,65,-20.33,-40.29,297.9,5.1
Abong Mbang,83,CM,1584999036,86,3.98,13.18,295.22,0.33
Mezen',100,RU,1584999037,88,65.85,44.24,270.02,5.93
Corn Island,37,NI,1584999039,75,12.17,-83.04,300.42,6.13
Birjand,75,IR,1584999040,87,32.87,59.22,279.15,4.1
Kazachinskoye,25,RU,1584999041,95,57.7,93.28,255.32,2.4
Udachny,90,RU,1584999042,75,66.42,112.4,246.15,5.0
San Miguel de Tucumán,2,AR,1584999043,55,-26.82,-65.22,304.15,5.1
Maceió,100,BR,1584999007,83,-9.67,-35.74,301.15,5.1
Vrangel',0,RU,1584999045,73,42.73,133.08,274.02,8.12
Santander,20,ES,1584999046,87,43.46,-3.8,285.6,0.5
Nalobikha,18,RU,1584999047,95,53.2,84.6,259.72,1.73
Rumburk,0,CZ,1584999049,50,50.95,14.56,270.39,2.6
Pitimbu,20,BR,1584999050,79,-7.47,-34.81,302.15,3.6
Saint-Philippe,70,RE,1584999051,78,-21.36,55.77,297.03,2.6
Tefé,40,BR,1584999052,70,-3.35,-64.71,303.15,3.1
Xai-Xai,0,MZ,1584999053,96,-25.05,33.64,294.92,1.02
Wad Medani,0,SD,1584999054,11,14.4,33.52,299.12,4.78
Ilulissat,100,GL,1584999055,78,69.22,-51.1,262.15,5.7
Pontianak,100,ID,1584999056,98,-0.03,109.33,296.42,0.59
Saint George,1,US,1584998990,71,37.1,-113.58,281.49,2.6
La Unión,58,PE,1584999059,29,-5.4,-80.75,307.52,7.73
Portland,75,US,1584998782,70,45.52,-122.68,282.37,7.2
Rocha,8,UY,1584999061,62,-34.48,-54.33,296.92,5.86
Kokorevka,12,RU,1584999062,60,52.59,34.28,269.22,2.85
Cabo San Lucas,5,MX,1584999002,36,22.89,-109.91,299.02,5.1
Kaeo,0,NZ,1584999064,85,-35.1,173.78,288.97,3.13
Armação de Pêra,20,PT,1584999065,87,37.1,-8.36,286.31,3.6
Hong Kong,20,HK,1584998809,83,22.29,114.16,294.49,6.7
Nanortalik,0,GL,1584999067,55,60.14,-45.24,270.52,19.11
Ternate,100,ID,1584999068,93,0.8,127.4,296.22,1.61
La Cruz,52,MX,1584999069,63,23.92,-106.9,299.82,3.13
Souillac,40,MU,1584999070,94,-20.52,57.52,298.97,4.6
Shīeli,13,KZ,1584999071,29,44.17,66.75,279.92,5.84
Valdez,100,EC,1584999073,72,1.25,-78.98,301.32,3.47
Tekeli,0,KZ,1584999074,29,44.83,78.82,266.62,3.35
Samarai,99,PG,1584999075,87,-10.62,150.67,299.32,1.78
Severo-Yeniseyskiy,100,RU,1584999077,99,60.37,93.04,249.62,2.29
Catania,75,IT,1584999079,81,37.5,15.09,282.54,1.0
Karatuzskoye,100,RU,1584999080,76,53.61,92.87,264.72,3.61
Dargaville,40,NZ,1584999081,64,-35.93,173.88,289.12,5.91
Turan,20,VN,1584999082,88,16.07,108.22,296.3,0.5
Balad,0,IQ,1584999083,44,34.02,44.15,290.02,3.0
Santa Cruz de la Sierra,75,BO,1584998939,70,-17.8,-63.17,303.15,1.0
Rongcheng,15,CN,1584999085,71,30.63,117.85,284.62,1.25
Horodyshche,0,UA,1584999086,44,49.28,31.45,271.32,4.62
Terra Rica,0,BR,1584999087,73,-22.71,-52.62,298.02,3.19
Tabou,100,CI,1584999088,96,4.42,-7.35,296.32,2.41
Turukhansk,100,RU,1584999089,92,65.82,87.98,252.22,5.9
Broome,90,US,1584999091,93,42.25,-75.83,274.11,4.1
Itupiranga,100,BR,1584999092,83,-5.13,-49.33,301.15,3.6
Bud,90,US,1584999093,75,39.45,-86.18,279.73,2.1
Salalah,1,OM,1584999094,44,17.02,54.09,299.15,4.1
Igarka,100,RU,1584999095,95,67.47,86.58,256.02,7.56
Urusha,100,RU,1584999096,96,54.05,122.9,265.52,1.01
Longyearbyen,20,SJ,1584999005,78,78.22,15.64,261.15,10.3
Columbus,75,US,1584998922,70,39.96,-83.0,280.36,5.1
Petropavlovsk-Kamchatskiy,75,RU,1584999099,97,53.05,158.65,276.15,6.0
Lochgilphead,100,GB,1584999100,57,56.04,-5.43,281.48,3.6
Hailar,18,CN,1584999101,73,49.2,119.7,268.42,3.9
Mastic Beach,90,US,1584999102,87,40.77,-72.85,278.01,4.1
Malanje,52,AO,1584999103,88,-9.54,16.34,291.22,0.36
Hasaki,20,JP,1584999104,93,35.73,140.83,275.39,2.1
Nome,90,US,1584998831,74,64.5,-165.41,272.91,2.6
Zhezkazgan,0,KZ,1584999107,88,47.8,67.71,266.52,6.17
Karaman Province,77,TR,1584999108,87,37.08,33.25,275.92,4.13
Aklavik,90,CA,1584999110,60,68.22,-135.01,259.15,3.6
Port Blair,0,IN,1584999111,64,11.67,92.75,300.72,4.58
Yangjiang,4,CN,1584999112,92,21.85,111.97,294.42,0.8
Samur,0,RU,1584999116,74,41.83,48.49,281.92,3.8
Sampit,96,ID,1584999117,97,-2.53,112.95,295.82,1.09
Bambous Virieux,40,MU,1584999118,94,-20.34,57.76,298.96,4.6
Ürümqi,100,CN,1584999119,51,43.8,87.6,277.15,1.0
Kota Belud,20,MY,1584999120,88,6.35,116.43,297.28,2.6
Solnechnyy,0,RU,1584999121,76,50.72,136.63,263.92,2.14
Chico,75,US,1584999115,52,39.73,-121.84,289.74,9.8
Kruisfontein,100,ZA,1584999123,88,-34.0,24.73,291.32,2.75
Makakilo City,90,US,1584999124,78,21.35,-158.09,297.38,6.2
Luwuk,91,ID,1584999125,80,-0.95,122.79,299.92,4.32
Ambon City,40,ID,1584998834,88,-3.7,128.18,297.15,4.6
Olafsvik,43,IS,1584999129,92,64.89,-23.71,275.32,15.17
Pamyat' Parizhskoy Kommuny,100,RU,1584999130,50,56.1,44.5,271.48,6.0
Kalmunai,0,LK,1584999131,69,7.42,81.82,301.02,4.26
Ketchikan,1,US,1584999132,42,55.34,-131.65,281.67,8.2
Brae,100,GB,1584999133,87,60.4,-1.35,280.58,12.3
Mount Gambier,75,AU,1584999134,93,-37.83,140.77,280.15,0.89
Rapid Valley,1,US,1584999135,18,44.06,-103.15,287.57,2.6
Olavarría,60,AR,1584999136,46,-36.89,-60.32,300.37,1.34
Sitka,1,US,1584999137,22,57.05,-135.33,278.88,5.1
Itarema,42,BR,1584999141,84,-2.92,-39.92,298.52,2.01
Taoudenni,2,ML,1584999143,14,22.68,-3.98,295.82,4.97
Pangnirtung,90,CA,1584999144,84,66.15,-65.71,260.15,0.71
Bras-Panon,75,RE,1584999145,78,-21.0,55.68,296.9,8.7
Nelson Bay,75,AU,1584999146,93,-32.72,152.15,290.96,6.2
Atar,0,MR,1584999148,27,20.52,-13.05,292.72,4.93
Yulara,25,AU,1584999012,40,-25.24,130.99,295.15,6.2
Strzelce Krajeńskie,0,PL,1584999151,54,52.88,15.53,271.32,2.72
San Ignacio,20,BZ,1584999152,65,17.16,-89.07,300.57,3.1
La Ronge,20,CA,1584999153,50,55.1,-105.28,271.15,4.6
Vanimo,100,PG,1584999154,90,-2.67,141.3,299.22,6.49
Kolyshley,96,RU,1584999155,59,52.7,44.54,270.37,4.79
Gamba,99,GA,1584999156,89,-2.65,10.0,298.92,1.09
Neryungri,99,RU,1584999157,96,56.67,124.65,265.82,1.47
Provideniya,75,RU,1584999159,92,64.38,-173.3,272.15,9.0
Salamiyah,57,SY,1584999160,51,35.01,37.05,285.82,2.42
Prince Rupert,1,CA,1584999076,74,54.32,-130.32,280.15,4.2
Finschhafen,100,PG,1584999162,69,-6.6,147.87,301.32,1.34
Westport,90,US,1584998873,93,41.14,-73.36,276.86,12.9
Kautokeino,100,NO,1584999165,87,69.01,23.04,271.32,12.41
Sept-Îles,90,CA,1584999093,67,50.2,-66.38,269.22,5.7
Novyy Urgal,0,RU,1584999168,91,51.07,132.56,260.82,0.77
Vostok,98,RU,1584999169,93,46.49,135.88,263.12,2.0
Kariba,51,ZW,1584999170,89,-16.52,28.8,292.12,1.02
Isfana,90,KG,1584999171,76,39.84,69.53,286.15,4.0
Mizque,58,BO,1584999172,60,-17.94,-65.34,293.02,4.84
Labuhan,100,ID,1584999173,87,-6.88,112.21,297.52,0.68
Ukiah,90,US,1584999174,58,39.15,-123.21,285.35,2.1
Talnakh,90,RU,1584999175,84,69.49,88.4,257.15,14.0
Pacific Grove,90,US,1584998940,71,36.62,-121.92,287.37,3.1
Tiznit Province,99,MA,1584999178,90,29.58,-9.5,283.62,7.81
Karasjok,100,NO,1584999179,60,69.47,25.51,277.15,29.3
Tailai,0,CN,1584999180,45,46.38,123.4,273.62,5.06
Smoky Lake,100,CA,1584999162,75,54.12,-112.47,273.71,3.13
Mount Isa,65,AU,1584999182,51,-20.73,139.5,300.15,3.1
Coyhaique,75,CL,1584999049,67,-45.58,-72.07,289.33,2.6
Whitehorse,75,CA,1584998937,44,60.72,-135.05,266.47,2.1
Hargeisa,70,SO,1584999092,73,9.56,44.06,295.52,1.57
Mâncio Lima,89,BR,1584999186,91,-7.61,-72.9,301.42,0.47
Chittarkonda,0,IN,1584999187,81,18.12,82.08,293.62,1.36
Yatou,62,CN,1584999188,52,37.15,122.38,280.52,1.41
Kloulklubed,100,PW,1584999190,89,7.04,134.26,299.02,9.08
Zhigansk,100,RU,1584999191,94,66.77,123.37,263.52,5.17
Leh,80,IN,1584999192,51,34.17,77.58,261.02,1.89
Wattegama,0,LK,1584999193,92,6.8,81.48,294.12,1.23
Sorong,100,ID,1584999194,97,-0.88,131.25,295.52,0.54
Sinnamary,28,GF,1584999196,77,5.38,-52.95,300.12,7.44
Amazar,98,RU,1584999197,97,53.86,120.88,266.02,0.45
LaBelle,1,US,1584999198,54,26.76,-81.44,301.48,5.7
Sørland,75,NO,1584999199,86,67.67,12.69,278.15,14.4
Mosquera,40,CO,1584999200,52,4.71,-74.23,292.15,3.6
Santa Isabel Rio Negro,100,BR,1584999201,69,-0.41,-65.02,303.72,0.82
Amahai,100,ID,1584999202,80,-3.33,128.92,300.22,3.59
Manta,40,EC,1584999203,70,-0.95,-80.73,303.15,5.1
Ankang,0,CN,1584999205,30,32.68,109.02,287.59,9.83
Omboué,100,GA,1584999206,94,-1.57,9.26,296.22,1.14
